Issue Type,Issue Key,Summary,Description,Priority,Status,Epic Link,Parent,Assignee,Assignee Role,Labels,Story Points,Original Estimate,Start Date,Due Date,Acceptance Criteria,Sprint
Story,STORY-TEST-01,??QA??????????????????,??JUnit5+Mockito????????????,Highest,In Progress,EPIC-TEST,,????,QA Engineer,"test,unit",8,24h,2026-05-27,2026-06-09,"1.Service???
2.Controller???
3.???>=70%
4.100%??",Sprint 3
Story,STORY-TEST-02,??QA??????JMeter???CI/CD??,??JMeter??????Redis?????Jenkins Pipeline,High,In Progress,EPIC-TEST,,????,QA Engineer,"test,jmeter,devops",5,20h,2026-06-10,2026-06-23,"1.JMeter 6???
2.Jenkinsfile 8??
3.Docker Compose??",Sprint 4
Task,TASK-REQ-01,??SRS????,????????????????????????,Medium,Done,EPIC-REQ,STORY-REQ-01,????,Product Owner,"docs,srs",,3h,2026-03-01,2026-03-02,??????????????,Sprint 0
Task,TASK-REQ-02,????????????,??4??????????/??/????????,Medium,Done,EPIC-REQ,STORY-REQ-01,????,Product Owner,"docs,srs",,5h,2026-03-03,2026-03-05,????????????,Sprint 0
Task,TASK-REQ-03,??????????,?????????????????????,Medium,Done,EPIC-REQ,STORY-REQ-02,????,Product Owner,"docs,personas",,3h,2026-03-07,2026-03-08,2??????????????,Sprint 0
Task,TASK-REQ-04,????????,??10???????????????????,High,In Progress,EPIC-REQ,STORY-REQ-02,????,Product Owner,"review,meeting",,4h,2026-03-09,2026-03-10,?????????????,Sprint 0
Task,TASK-BOOK-01,??Book???Repository,??Book JPA??(?ISBN????)?BookRepository(?????),High,Done,EPIC-BOOK,STORY-BOOK-01,????1,Developer,"book,entity,repo",,4h,2026-03-11,2026-03-13,???????Repository?CRUD+??,Sprint 1
Task,TASK-BOOK-02,??BookService????,?????????????????????,High,Done,EPIC-BOOK,STORY-BOOK-01,????1,Developer,"book,service",,8h,2026-03-14,2026-03-19,?????????????????,Sprint 1
Task,TASK-BOOK-03,??BookController?API??,??REST????MockMvc????,High,Done,EPIC-BOOK,STORY-BOOK-01,????1,Developer,"book,controller,test",,6h,2026-03-20,2026-03-24,7?API????????????,Sprint 1
Task,TASK-BOOK-04,?????????API,?BookService?????/?????????,Medium,Done,EPIC-BOOK,STORY-BOOK-02,????1,Developer,"book,search",,4h,2026-03-25,2026-03-28,??API???????????????,Sprint 1
Task,TASK-CART-01,??Cart?CartItem??,??????????JPA????????????,High,Done,EPIC-CART,STORY-CART-01,????2,Developer,"cart,entity",,3h,2026-04-08,2026-04-09,???????????????,Sprint 2
Task,TASK-CART-02,??CartService????,????????????????????????,High,Done,EPIC-CART,STORY-CART-01,????2,Developer,"cart,service",,6h,2026-04-10,2026-04-14,??????????????????,Sprint 2
Task,TASK-CART-03,?????????,???????????????????,Medium,Done,EPIC-CART,STORY-CART-02,????2,Developer,"cart,manage",,5h,2026-04-18,2026-04-23,???????????,Sprint 2
Task,TASK-CART-04,??CartController???,?????REST????????,High,Done,EPIC-CART,STORY-CART-02,????2,Developer,"cart,controller,test",,4h,2026-04-24,2026-04-28,5?API??????????,Sprint 2
Task,TASK-ORDER-01,??Order?OrderItem??,?????????JPA??????????,High,Done,EPIC-ORDER,STORY-ORDER-01,????2,Developer,"order,entity",,3h,2026-04-29,2026-04-30,?????????????????,Sprint 3
Task,TASK-ORDER-02,??????????,???????????????????(????),Highest,Done,EPIC-ORDER,STORY-ORDER-01,????2,Developer,"order,service",,8h,2026-05-01,2026-05-08,???????????????????,Sprint 3
Task,TASK-ORDER-03,????????,??PENDING->PAID->SHIPPED->COMPLETED????,High,Done,EPIC-ORDER,STORY-ORDER-02,????2,Developer,"order,status",,4h,2026-05-13,2026-05-17,???????????????,Sprint 3
Task,TASK-ORDER-04,???????????,????????????????????,High,Done,EPIC-ORDER,STORY-ORDER-02,????2,Developer,"order,cancel",,3h,2026-05-18,2026-05-21,????????????????,Sprint 3
Task,TASK-TEST-01,??Service?????,?BookService/UserService/OrderService/CartService?JUnit??,Highest,Done,EPIC-TEST,STORY-TEST-01,????,QA Engineer,"test,service",,8h,2026-05-27,2026-06-02,??Service??????????,Sprint 3
Task,TASK-TEST-02,??Controller?????,?BookController/UserController??MockMvc????,High,Done,EPIC-TEST,STORY-TEST-01,????,QA Engineer,"test,controller",,6h,2026-06-03,2026-06-09,Controller?????API????,Sprint 3
Task,TASK-TEST-03,??JMeter??????,??6?Redis??????(NoCache/Redis x 10/50/100??),High,In Progress,EPIC-TEST,STORY-TEST-02,????,QA Engineer,"test,jmeter",,5h,2026-06-10,2026-06-14,JMX?6?????????????,Sprint 4
Task,TASK-TEST-04,??Jenkins Pipeline?Docker,??Jenkinsfile(8??)?docker-compose.yml,Medium,In Progress,EPIC-TEST,STORY-TEST-02,Scrum Master,Scrum Master,"devops,jenkins,docker",,6h,2026-06-15,2026-06-20,Jenkinsfile??????Docker Compose???,Sprint 4
